{'regions': [4.94, 4.88], 'path-length': [25.04, 25.12], 'path-imp': [8.88, 8.96], 'path-change': [5.48, 3.48], 'iterations': [609.1, 609.1], 'changes': [56.0, 22.0], 'steps': [609.1, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [22.48, 21.58]}
{'regions': [3.7, 3.64], 'path-length': [25.46, 25.38], 'path-imp': [7.66, 7.58], 'path-change': [3.6, 3.98], 'iterations': [217.78, 217.78], 'changes': [41.86, 36.0], 'steps': [217.78, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [19.3, 28.38]}
{'regions': [5.34, 5.28], 'path-length': [25.68, 25.58], 'path-imp': [12.72, 12.62], 'path-change': [6.82, 5.8], 'iterations': [148.66, 148.66], 'changes': [33.9, 44.08], 'steps': [148.66, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [30.52, 35.6]}
{'regions': [4.48, 4.4], 'path-length': [23.98, 24.12], 'path-imp': [8.88, 9.02], 'path-change': [5.18, 3.84], 'iterations': [198.44, 198.44], 'changes': [33.8, 43.76], 'steps': [198.44, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [26.48, 23.64]}
{'regions': [4.66, 4.64], 'path-length': [25.64, 25.8], 'path-imp': [10.22, 10.38], 'path-change': [5.62, 4.76], 'iterations': [220.02, 220.02], 'changes': [38.38, 39.62], 'steps': [220.02, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [25.22, 30.86]}
{'regions': [3.96, 3.86], 'path-length': [24.58, 24.54], 'path-imp': [6.64, 6.6], 'path-change': [5.36, 1.24], 'iterations': [479.22, 479.22], 'changes': [40.16, 37.26], 'steps': [479.22, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [23.06, 23.34]}
{'regions': [4.8, 4.68], 'path-length': [27.8, 27.66], 'path-imp': [11.88, 11.74], 'path-change': [5.98, 5.76], 'iterations': [476.94, 476.94], 'changes': [44.22, 32.42], 'steps': [476.94, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [18.48, 31.76]}
{'regions': [4.5, 4.38], 'path-length': [25.4, 25.46], 'path-imp': [7.54, 7.6], 'path-change': [2.74, 4.86], 'iterations': [729.74, 729.74], 'changes': [41.62, 36.38], 'steps': [729.74, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [11.34, 34.26]}
{'regions': [4.5, 4.4], 'path-length': [24.12, 24.1], 'path-imp': [9.34, 9.32], 'path-change': [4.46, 4.86], 'iterations': [399.14, 399.14], 'changes': [45.36, 32.64], 'steps': [399.14, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [24.46, 30.36]}
{'regions': [3.78, 3.66], 'path-length': [26.52, 26.94], 'path-imp': [7.4, 7.82], 'path-change': [5.74, 2.08], 'iterations': [227.7, 227.7], 'changes': [48.5, 28.3], 'steps': [227.7, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [23.24, 28.28]}
{'regions': [5.0, 4.76], 'path-length': [28.24, 28.38], 'path-imp': [13.14, 13.28], 'path-change': [8.72, 4.56], 'iterations': [212.14, 212.14], 'changes': [45.64, 30.82], 'steps': [212.14, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [24.92, 25.56]}
{'regions': [3.32, 3.24], 'path-length': [28.92, 28.84], 'path-imp': [12.58, 12.5], 'path-change': [8.9, 3.6], 'iterations': [344.16, 344.16], 'changes': [45.68, 31.98], 'steps': [344.16, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [30.6, 34.5]}
{'regions': [5.1, 5.0], 'path-length': [28.68, 28.9], 'path-imp': [14.04, 14.26], 'path-change': [9.76, 4.5], 'iterations': [568.76, 568.76], 'changes': [46.34, 30.82], 'steps': [568.76, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [24.66, 27.3]}
{'regions': [3.64, 3.58], 'path-length': [30.66, 30.82], 'path-imp': [14.18, 14.34], 'path-change': [10.5, 3.84], 'iterations': [1011.78, 1011.78], 'changes': [47.48, 28.84], 'steps': [1011.78, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [28.2, 29.34]}
{'regions': [5.48, 5.32], 'path-length': [27.94, 27.96], 'path-imp': [14.5, 14.52], 'path-change': [10.94, 3.58], 'iterations': [520.02, 520.02], 'changes': [42.76, 32.52], 'steps': [520.02, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [31.74, 30.48]}
{'regions': [6.66, 6.66], 'path-length': [26.64, 26.66], 'path-imp': [12.48, 12.5], 'path-change': [9.04, 3.46], 'iterations': [670.88, 670.88], 'changes': [47.74, 30.26], 'steps': [670.88, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [16.44, 16.16]}
{'regions': [5.38, 5.24], 'path-length': [25.38, 25.46], 'path-imp': [10.36, 10.44], 'path-change': [4.76, 5.68], 'iterations': [450.96, 450.96], 'changes': [44.18, 32.58], 'steps': [450.96, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [18.26, 34.78]}
{'regions': [4.94, 4.9], 'path-length': [28.58, 28.44], 'path-imp': [11.28, 11.14], 'path-change': [8.76, 2.38], 'iterations': [499.0, 499.0], 'changes': [44.5, 32.78], 'steps': [499.0, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [20.46, 28.88]}
{'regions': [4.52, 4.34], 'path-length': [31.42, 31.12], 'path-imp': [13.88, 13.58], 'path-change': [8.68, 4.9], 'iterations': [540.92, 540.92], 'changes': [47.98, 29.5], 'steps': [540.92, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [21.78, 27.7]}
{'regions': [4.5, 4.4], 'path-length': [30.96, 30.98], 'path-imp': [14.0, 14.02], 'path-change': [10.76, 3.26], 'iterations': [392.04, 392.04], 'changes': [48.12, 29.44], 'steps': [392.04, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [22.56, 19.36]}
{'regions': [4.82, 4.76], 'path-length': [30.22, 30.16], 'path-imp': [14.86, 14.8], 'path-change': [10.56, 4.24], 'iterations': [347.02, 347.02], 'changes': [45.46, 31.32], 'steps': [347.02, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [28.26, 29.64]}
{'regions': [4.56, 4.46], 'path-length': [29.54, 29.54], 'path-imp': [13.12, 13.12], 'path-change': [10.66, 2.46], 'iterations': [314.2, 314.2], 'changes': [45.18, 32.42], 'steps': [314.2, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [26.96, 33.46]}
{'regions': [4.28, 4.24], 'path-length': [32.1, 32.02], 'path-imp': [14.6, 14.52], 'path-change': [10.74, 3.78], 'iterations': [447.86, 447.86], 'changes': [48.02, 29.3], 'steps': [447.86, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [23.04, 23.48]}
{'regions': [4.58, 4.46], 'path-length': [29.54, 29.64], 'path-imp': [16.22, 16.32], 'path-change': [9.58, 6.74], 'iterations': [435.24, 435.24], 'changes': [45.62, 31.62], 'steps': [435.24, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [33.08, 37.54]}
